sec,nat,scho,town,sect,study,final
92.78,58,1832,35,9,5,5
83.88,58,1230,35,9,3,5
77.22,58,557,35,8,5,4
83.68,46,295,35,9,3,5
75.35,58,1229,35,9,5,4
57.58,58,1220,35,8,3,3
90.3,7,63,35,8,5,5
81.61,50,494,35,8,3,5
66,58,292,35,8,3,3
74.11,58,1842,42,8,3,4
74.28,58,182,35,8,3,5
73.75,58,212,35,8,3,5
90.33,58,2004,35,8,3,5
87.19,58,1285,35,8,3,6
86.57,58,635,35,9,5,5
60.61,58,47,35,8,3,4
93.52,58,1281,35,9,5,6
93.04,58,1281,35,9,5,6
90.81,58,1551,35,8,5,5
92.87,58,525,35,9,5,5
66.85,58,1551,35,9,5,4
89.78,58,1551,35,9,5,5
63,58,1506,35,8,5,3
72.32,58,1551,35,9,5,4
68.22,58,243,39,8,3,4
71.17,58,2410,35,8,3,4
61.78,58,519,35,8,5,4
78.91,58,1159,35,9,5,5
97.04,58,2028,35,8,5,6
64.22,58,1789,35,8,3,4
58.94,58,519,35,8,5,3
74.22,58,519,35,8,5,4
69.97,63,2410,35,8,3,4
0,21,1230,35,9,3,5
77.83,45,2410,35,8,3,4
62.78,58,557,35,8,5,4
80.52,58,257,35,9,5,4
95.78,58,1817,35,8,3,6
81.94,58,1285,35,8,3,5
82.71,58,310,35,9,3,5
66.58,63,561,35,8,3,3
84.48,58,428,35,8,5,5
61.31,64,2352,35,8,3,3
69.44,58,557,35,8,5,4
81.78,58,1506,35,9,5,5
76.44,58,352,35,8,3,5
75.11,58,353,35,8,5,4
70,58,462,35,9,5,4
67.76,58,1780,35,9,3,4
89.83,58,1832,35,9,5,5
85.39,58,1174,35,8,3,6
96.48,58,2028,35,8,5,6
65.58,58,1780,35,8,3,3
76.17,58,557,35,9,5,4
69,51,1780,35,9,3,4
85.96,58,1219,35,9,5,5
93.97,58,58,35,8,3,6
91.07,58,2059,35,8,5,5
74.96,58,557,35,8,5,4
82.47,58,182,35,8,3,5
73.25,22,2410,35,8,3,4
67.64,22,2410,35,8,3,4
69,58,113,35,8,3,3
72.86,58,428,35,8,5,5
87.42,58,514,35,8,3,5
91,58,428,35,8,5,5
80.45,58,1856,35,9,2,5
76.91,58,428,35,8,5,4
84.06,58,359,35,9,3,5
72.65,58,428,35,9,5,5
83.56,58,46,35,8,5,5
65.71,58,2028,35,9,5,4
89.44,77,359,35,8,3,5
70.38,58,1285,35,9,3,5
68.81,58,45,35,8,3,3
78.69,58,47,35,8,3,5
74.61,58,58,35,8,3,5
69.96,58,2279,35,9,5,4
70.7,58,2279,35,9,5,4
66.7,58,2279,35,9,5,3
83.61,58,2467,35,8,3,5
72.13,58,2279,35,9,5,4
58.97,58,310,35,8,3,3
70.91,58,2279,35,9,5,4
86.56,58,1839,35,8,5,5
73,58,433,35,9,3,4
91.37,58,63,35,8,5,5
84.78,58,353,35,9,5,4
68.24,58,63,35,9,5,4
65.75,58,1790,35,8,3,3
71.58,58,1551,35,8,5,4
84.3,58,1506,35,9,5,5
62,58,519,35,9,5,4
75.03,58,462,35,9,5,4
62.79,58,462,35,9,5,4
91.59,58,181,35,8,5,5
78.04,58,930,1,9,5,4
89.37,58,181,35,8,5,5
89.78,58,332,35,8,3,6
63.79,58,123,35,9,3,3
80.91,58,2410,35,9,3,5
63.75,16,269,35,8,3,3
59.53,63,417,35,8,3,3
93.41,58,1551,35,8,5,5
86.81,58,181,35,8,5,5
81.19,58,1503,35,9,2,5
61.29,58,1236,35,9,5,3
57.06,58,519,35,8,5,3
82.57,58,257,35,9,5,4
85.11,58,63,35,8,5,5
82.94,58,1902,35,9,5,5
85.22,58,1902,35,9,5,5
76.36,58,47,35,8,3,5
81.08,58,1218,35,8,3,5
78.28,58,1831,35,8,3,4
77.04,58,519,35,8,5,4
62.69,58,1831,35,8,3,3
81.3,58,1551,35,9,5,5
68.74,77,359,35,9,3,4
91.38,58,1635,8,9,3,6
88.17,58,525,35,9,5,6
65.67,58,2043,35,8,3,4
73.78,58,1159,35,9,5,4
92.85,58,2028,35,8,5,5
93.59,40,46,35,8,5,6
63.86,58,46,35,8,5,4
91.37,58,2028,35,8,5,5
67.44,58,1221,35,8,5,4
94.57,58,428,35,9,5,6
57.5,58,2059,35,8,5,3
91.96,58,2028,35,9,5,5
74.44,58,1221,35,8,5,4
87.07,58,1551,35,8,5,5
83.74,58,1551,35,8,5,4
61.83,46,2410,35,8,3,3
85.69,58,1280,35,8,3,5
81.87,58,2468,35,9,5,5
84.03,58,2036,35,8,3,4
87.56,58,2308,35,8,5,5
79.63,58,1551,35,8,5,4
85.41,58,1551,35,9,5,5
63.31,58,1017,12,9,5,4
90.63,58,63,35,8,5,5
92.26,58,1832,35,9,5,6
84.67,58,181,35,8,5,5
69.67,58,257,35,8,5,4
94.74,58,1551,35,8,5,5
69.67,58,1831,35,8,3,4
95.67,58,2028,35,8,5,6
68.7,58,1923,35,8,2,4
95.83,58,330,35,8,3,6
69.81,58,331,35,8,5,4
73,58,1531,35,8,2,4
72.24,58,1531,35,8,2,4
66.19,58,330,35,8,3,3
76.5,58,521,35,8,3,4
76.04,58,762,1,8,2,4
62.47,58,1346,36,8,3,4
60.53,58,2308,35,8,5,4
93.61,58,1281,35,9,5,5
76.19,58,2050,35,8,3,5
92.52,58,181,35,8,5,6
95.19,58,2306,35,8,3,6
74.97,58,2306,35,8,3,5
89.06,58,182,35,8,3,6
89.11,58,2050,35,8,3,6
63.44,58,1160,35,9,5,4
72.43,58,502,6,9,5,3
68.96,58,1248,45,9,5,3
68.96,58,2046,35,9,5,4
79.89,58,2045,35,8,3,5
63.89,58,1316,35,8,3,3
73.55,58,1832,35,9,5,5
93.52,58,2028,35,8,5,5
83.83,58,1505,35,9,5,4
83.78,58,1551,35,9,5,5
78.91,58,1506,35,9,5,4
75.73,58,2296,35,9,5,4
78.55,58,462,35,9,5,5
88.07,58,63,35,8,5,5
70.83,58,2279,35,9,5,3
